SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$809671,8427121,CODE_809671,,USED
$80967E,8427134,CODE_80967E,,USED
$80969C,8427164,CODE_80969C,,USED
$8096AB,8427179,CODE_8096AB,,USED
$8096BD,8427197,CODE_8096BD,,USED
$8096D3,8427219,CODE_8096D3,,USED
$80972B,8427307,CODE_80972B,,USED
$80972C,8427308,CODE_80972C,,USED
$80975A,8427354,CODE_80975A,,USED
$809764,8427364,CODE_809764,,USED
$809775,8427381,CODE_809775,,USED
$809783,8427395,CODE_809783,,USED
$809806,8427526,CODE_809806,,USED
$80981D,8427549,CODE_80981D,,USED
$809828,8427560,CODE_809828,,USED
$8098A8,8427688,CODE_8098A8,,USED
$809912,8427794,CODE_809912,,USED
$8099B1,8427953,CODE_8099B1,,USED
$8099BC,8427964,CODE_8099BC,,USED
$8099CD,8427981,CODE_8099CD,,USED
$8099E4,8428004,CODE_8099E4,,USED
$809A64,8428132,CODE_809A64,,USED
$809A71,8428145,CODE_809A71,,USED
$809A79,8428153,CODE_809A79,,USED
$809A84,8428164,CODE_809A84,,USED
$809A8C,8428172,CODE_809A8C,,USED
$809A98,8428184,CODE_809A98,,USED
$809AA6,8428198,CODE_809AA6,,USED
$809AD3,8428243,CODE_809AD3,,USED
$809AEF,8428271,CODE_809AEF,,USED
$809AF6,8428278,CODE_809AF6,,USED
$809B36,8428342,CODE_809B36,,USED
$809B5F,8428383,UNREACH_809B5F,,USED
$809B6E,8428398,UNREACH_809B6E,,USED
$809B7D,8428413,CODE_809B7D,,USED
$809B88,8428424,CODE_809B88,,USED
$809B9A,8428442,CODE_809B9A,,USED
$809BAE,8428462,CODE_809BAE,,USED
$809BC4,8428484,CODE_809BC4,,USED
$809BE0,8428512,CODE_809BE0,,USED
$809BEC,8428524,CODE_809BEC,,USED
$809BFE,8428542,CODE_809BFE,,USED
$809C14,8428564,CODE_809C14,,USED
$809C30,8428592,CODE_809C30,,USED
$809C56,8428630,CODE_809C56,,USED
$809C5D,8428637,CODE_809C5D,,USED
$809C67,8428647,CODE_809C67,,USED
$809CA0,8428704,CODE_809CA0,,USED
$809CB1,8428721,CODE_809CB1,,USED
$809CC2,8428738,CODE_809CC2,,USED
$809CD3,8428755,CODE_809CD3,,USED
$809CE0,8428768,CODE_809CE0,,USED
$809CFF,8428799,CODE_809CFF,,USED
$809D0A,8428810,CODE_809D0A,,USED
$809D0B,8428811,CODE_809D0B,,USED
$809D18,8428824,CODE_809D18,,USED
$809D23,8428835,CODE_809D23,,USED
$809D2A,8428842,CODE_809D2A,,USED
$809D37,8428855,CODE_809D37,,USED
$809D42,8428866,CODE_809D42,,USED
$809D4D,8428877,CODE_809D4D,,USED
$809D58,8428888,CODE_809D58,,USED
$809D63,8428899,CODE_809D63,,USED
$809D6E,8428910,CODE_809D6E,,USED
$809D79,8428921,CODE_809D79,,USED
$809D87,8428935,CODE_809D87,,USED
$809D93,8428947,CODE_809D93,,USED
$809D9F,8428959,CODE_809D9F,,USED
$809DAB,8428971,CODE_809DAB,,USED
$809DB8,8428984,CODE_809DB8,,USED
$809DC3,8428995,CODE_809DC3,,USED
$809DCF,8429007,CODE_809DCF,,USED
$809DDB,8429019,CODE_809DDB,,USED
$809DE7,8429031,CODE_809DE7,,USED
$809DF3,8429043,CODE_809DF3,,USED
$809DFD,8429053,CODE_809DFD,,USED
$809E0A,8429066,CODE_809E0A,,USED
$809E15,8429077,CODE_809E15,,USED
$809E23,8429091,CODE_809E23,,USED
$809E3F,8429119,CODE_809E3F,,USED
$809E7D,8429181,CODE_809E7D,,USED
$809E94,8429204,CODE_809E94,,USED
$809EBB,8429243,CODE_809EBB,,USED
$809EBC,8429244,CODE_809EBC,,USED
$809ECC,8429260,CODE_809ECC,,USED
$809EE6,8429286,CODE_809EE6,,USED
$809EF6,8429302,CODE_809EF6,,USED
$809F0E,8429326,CODE_809F0E,,USED
$809F1E,8429342,CODE_809F1E,,USED
$809F38,8429368,CODE_809F38,,USED
$809F48,8429384,CODE_809F48,,USED
$809F60,8429408,CODE_809F60,,USED
$809F61,8429409,CODE_809F61,,USED
$809F6E,8429422,CODE_809F6E,,USED
$809F7D,8429437,CODE_809F7D,,USED
$809F84,8429444,CODE_809F84,,USED
$809F9A,8429466,CODE_809F9A,,USED
$809FA6,8429478,CODE_809FA6,,USED
$809FB3,8429491,CODE_809FB3,,USED
$809FCA,8429514,CODE_809FCA,,USED
$809FD7,8429527,CODE_809FD7,,USED
$809FE3,8429539,CODE_809FE3,,USED
$809FEF,8429551,CODE_809FEF,,USED
$809FFB,8429563,CODE_809FFB,,USED
$80A007,8429575,CODE_80A007,,USED
$80A017,8429591,CODE_80A017,,USED
$80A033,8429619,CODE_80A033,,USED
$80A04A,8429642,CODE_80A04A,,USED
$80A061,8429665,CODE_80A061,,USED
$80A078,8429688,CODE_80A078,,USED
$80A083,8429699,CODE_80A083,,USED
$80A08A,8429706,CODE_80A08A,,USED
$80A096,8429718,CODE_80A096,,USED
$80A0AA,8429738,CODE_80A0AA,,USED
$80A0AB,8429739,CODE_80A0AB,,USED
$80A0C0,8429760,CODE_80A0C0,,USED
$80A0E0,8429792,CODE_80A0E0,,USED
$80A0E1,8429793,CODE_80A0E1,,USED
$80A0FB,8429819,CODE_80A0FB,,USED
$80A11B,8429851,CODE_80A11B,,USED
$80A11C,8429852,CODE_80A11C,,USED
$80A131,8429873,CODE_80A131,,USED
$80A151,8429905,CODE_80A151,,USED
$80A152,8429906,CODE_80A152,,USED
$80A16C,8429932,CODE_80A16C,,USED
$80A18C,8429964,CODE_80A18C,,USED
$80A18D,8429965,CODE_80A18D,,USED
$80A1B1,8430001,CODE_80A1B1,,USED
$80A1BB,8430011,CODE_80A1BB,,USED
$80A1CB,8430027,CODE_80A1CB,,USED
$80A1DB,8430043,CODE_80A1DB,,USED
$80A1EE,8430062,CODE_80A1EE,,USED
$80A201,8430081,CODE_80A201,,USED
$80A21A,8430106,CODE_80A21A,,USED
$80A240,8430144,CODE_80A240,,USED
$80A252,8430162,CODE_80A252,,USED
$80A263,8430179,CODE_80A263,,USED
$80A2FD,8430333,CODE_80A2FD,,USED
$80A305,8430341,CODE_80A305,,USED
$80A308,8430344,CODE_80A308,,USED
$80A32C,8430380,CODE_80A32C,,USED
$80A336,8430390,CODE_80A336,,USED
$80A346,8430406,CODE_80A346,,USED
$80A356,8430422,CODE_80A356,,USED
$80A369,8430441,CODE_80A369,,USED
$80A37C,8430460,CODE_80A37C,,USED
$80A395,8430485,CODE_80A395,,USED
$80A3B9,8430521,CODE_80A3B9,,USED
$80A3CB,8430539,CODE_80A3CB,,USED
$80A3DC,8430556,CODE_80A3DC,,USED
$80A476,8430710,CODE_80A476,,USED
$80A47E,8430718,CODE_80A47E,,USED
$80A481,8430721,CODE_80A481,,USED
$80A4A6,8430758,CODE_80A4A6,,USED
$80A4B1,8430769,CODE_80A4B1,,USED
$80A4C6,8430790,CODE_80A4C6,,USED
$80A4DB,8430811,CODE_80A4DB,,USED
$80A4F3,8430835,CODE_80A4F3,,USED
$80A50B,8430859,CODE_80A50B,,USED
$80A529,8430889,CODE_80A529,,USED
$80A546,8430918,CODE_80A546,,USED
$80A558,8430936,CODE_80A558,,USED
$80A569,8430953,CODE_80A569,,USED
$80A60C,8431116,CODE_80A60C,,USED
$80A614,8431124,CODE_80A614,,USED
$80A617,8431127,CODE_80A617,,USED
$80A63C,8431164,CODE_80A63C,,USED
$80A646,8431174,CODE_80A646,,USED
$80A65B,8431195,CODE_80A65B,,USED
$80A670,8431216,CODE_80A670,,USED
$80A688,8431240,CODE_80A688,,USED
$80A6A0,8431264,CODE_80A6A0,,USED
$80A6BE,8431294,CODE_80A6BE,,USED
$80A6DD,8431325,CODE_80A6DD,,USED
$80A6EF,8431343,CODE_80A6EF,,USED
$80A700,8431360,CODE_80A700,,USED
$80A7A3,8431523,CODE_80A7A3,,USED
$80A7AB,8431531,CODE_80A7AB,,USED
$80A7AE,8431534,CODE_80A7AE,,USED
$80A7C6,8431558,CODE_80A7C6,,USED
